A    
a     art.一(个)；每一(个)
acre     [ˈeikə] n.英亩(=6.07 亩)
acrid     ['ækrid] a.辛辣的，刻薄的
acrimonious     [ækri'məunjəs] a.尖刻的，严厉的
acrimony     ['ækriməni] n.尖刻，刻薄
acrobat     ['ækrəbæt] n.特技演员，杂技演员
acronym     ['ækrənim] n. 首字母缩略词
acrophobia     [,ækrəu'fəubjə] n.恐高症
across     [əˈkrɔs] prep.横过；在…对面
act     [ækt] vi.行动；见效 n.行为
action     [ˈæk∫ən] n.行动；作用；功能
activate     vt.刺激,使活动;vi.有活力
active     [ˈæktiv] a.活跃的；积极的
activity     [ækˈtiviti] n.活动；活力；行动
actor     [ˈæktə] n.男演员；演剧的人
actress     [ˈæktris] n.女演员
actual     [ˈæktjuəl] a.实际的；现行的
actually     [ˈækt∫uəli] ad.实际上；竟然
actuarial     [,æktju'eəriəl] a. (保险)精算的，保险计算的
actuate     ['æktjueit] v. 驱使，激励
acuity     [ə'kjuiti] n.(尤指思想或感官)敏锐
acumen     [ə'kju:mən] n.敏锐，精明,聪明
acute     [əˈkjuːt] a.尖的，锐的；敏锐的
ad     [æd] n.广告
adage     ['ædidʒ] n.格言，古训
adamant     ['ædəmənt] a.强硬的；固执的
adapt     [əˈdæpt] vt.使适应；改编
adaptable     [ə'dæptəbl] a.有适应能力的；可改编的
add     [æd] vt.添加，附加，掺加
addendum     [ə'dendəm] n.补充，附录
addict     [ə'dikt] v./n.沉溺；上瘾(者)
addition     [əˈdi∫ən] n.加，加法；附加物
additional     [əˈdi∫ənl] a.附加的，追加的
additive     ['æditiv] n.添加剂
addle     ['ædl] v. 使腐坏; 使昏乱
address     [əˈdres] n.地址；演说；谈吐
adduce     [ə'dju:s] v. 给予(理由); 举出(例证)
adept     ['ædept] a.老练的，精通的
adequate     [ˈædikwit] a.足够的；可以胜任的
adhere     [əd'hiə] v.粘着；依附,拥护
adherent     [əd'hiərənt] n.拥护者，信徒
adhesive     [əd'hi:siv] a.带粘性的，胶粘的；n.胶合剂
adjacent     [ə'dʒeisənt] a.接近的，毗连的
adjective     [ˈædʒiktiv] n.形容词 a.形容词的
adjoin     v.邻接,毗连
adjourn     [ə'dʒə:n] v.使延期，推迟；休会
adjudicate     [ə'dʒu:dikeit] v. 充当裁判; 判决
adjunct     ['ædʒʌŋkt] n.附加物，附件
adjust     [əˈdʒʌst] vt.调整，调节；校正
adlib     [æd'lib] v. 临时讲话，即兴表演
administer     [əd'ministə] v.施行，实施;掌管，料理...的事务;给予
administratio     n.管理,经营,行政部门
administration     [ədminisˈtrei∫ən] n.管理；管理部门
admire     [ədˈmaiə] vt.钦佩，羡慕，赞赏
admission     [ədˈmi∫ən] n.允许进入；承认
admit     [ədˈmit] vt.承认；准许…进入
admonish     [əd'mɔniʃ] v.训诫；警告
adobe     [ə'dəubi] n.泥砖，土坯
adolescent     [,ædəu'lesnt] a.青春期的；n.青少年
adopt     [əˈdɔpt] vt.收养；采用；采取
adore     [ə'dɔ:] v.崇拜；热爱
adorn     [ə'dɔ:n] v.装饰
adroit     [ə'drɔit] a.熟练的，灵巧的
adulate     ['ædjuleit] v.谄媚，奉承
adult     [ˈædʌlt] n.成年人 a.成年的
adulterate     [ə'dʌltəreit] v.掺假
adumbrate     ['ædʌm,breit] v.(对将来事件)预示
advance     [ədˈvɑːns] vi.前进；提高 n.进展
advanced     [ədˈvɑːnst] a.先进的；高级的
advantage     [ədˈvɑːntidʒ] n.优点，优势；好处
advent     ['ædvənt] n.到来，来临
adventitious     [,ædven'tiʃəs] a.偶然的
adventure     [ədˈvent∫ə] n.冒险；惊险活动
adverb     [ˈædvəːb] n.副词
adverse     ['ædvə:s] a.不利的，相反的；敌对
advert     [əd'və:t] v. 注意，留意
advertise     ['ædvətaiz] v.做广告
advertisement     [ədˈvəːtismənt] n.广告；公告；登广告
advice     [ədˈvais] n.劝告；忠告；意见
advisable     [ədˈvaizəbl] n.明智的；可取的
advise     [ədˈvaiz] vt.劝告；建议；通知
advocacy     ['ædvəkəsi] n.拥护，支持
advocate     ['ædvəkit] v.拥护，支持；n.支持者，拥护者
aegis     ['idʒis] n.盾；保护，庇护
aerate     ['eiəreit] v.充气，让空气进入
aerial     ['eəriəl] a.空中的，空气中的
aeronautics     [,eərə'nɔ:tiks] n. 航空学
aeroplane     [ˈeərəplein] n.飞机
aesthete     ['i:sθi:t] n.审美家
aesthetic     [i:s'θetik] a.美学的，有审美感的
affable     ['æfəbl] a.易于交谈的；和蔼的
affair     [əˈfeə] n.事情，事件；事务
affect     [əˈfekt] vt.影响；感动
affectation     [,æfek'teiʃən] n.做作，虚假
affected     [ə'fektid] a.不自然的；假装的
affection     [əˈfek∫ən] n.慈爱，爱；爱慕
affidavit     [,æfi'deivit] n.宣誓书
affiliate     [ə'filieit] v.加入；联合
affiliation     [ə,fili'eiʃən] n.联系，联合
affinity     [ə'finiti] n.密切关系；(两性)吸引力
affirm     [ə'fə:m] v.确认；肯定
affix     [ə'fiks] v.粘上，贴上；在合同上添写某事物；n.词缀
afflict     [ə'flikt] v.使痛苦，折磨
affliction     [ə'flikʃən] n.悲痛，受难的起因
affluence     ['æfluəns] n.充裕，富足
affluent     ['æfluənt] a.富裕的，丰富的
afford     [əˈfɔːd] vt.担负得起…；提供
affordable     [ə'fɔ:dəbl] a.能够支付的
affront     [ə'frʌnt] v.侮辱，冒犯
afraid     [əˈfreid] a.害怕的；担心的
africa     [ˈæfrikə] n.非洲
african     [ˈæfrikən] a.非洲的 n.非洲人
after     [ˈɑːftə] prep.在…以后；次于
aftermath     ['ɑ:ftəmæθ] n. 事件的后果，余波
afternoon     [ˈɑːftəˈnuːn] n.下午，午后
afterward     [ˈɑːftəwəd] ad.后来，以后
again     [əˈgein] ad.又一次；而且
against     [əˈgeinst] prep.倚在；逆，对着
agape     [ə'ɡeip] a./adv. (嘴)大张着的/地
age     [eidʒ] n.年龄；时代 vt.变老
agency     [ˈeidʒənsi] n.经办；代理；代理处
agenda     [ə'dʒendə] n.议程
agent     [ˈeidʒənt] n.代理人，代理商
agglomerate     [ə'ɡlɔməreit] v.凝聚，结块
aggrandize     [ə'ɡrændaiz] v.增大，扩张；吹棒
aggravate     ['æɡrəveit] v.加重，恶化
aggregate     ['æɡriɡeit] v.集合；合计
aggression     [ə'ɡreʃən] n.侵略；敌对的情绪或行为
aggressive     [əˈgresiv] a.侵略的；好斗的
aggressor     [ə'ɡresə(r)] n.侵略者，攻击者
aggrieve     [ə'ɡri:v] v.使受委屈；使痛苦
aghast     [ə'ɡɑ:st] a. 惊骇的，吓呆的
agile     ['ædʒail] a.敏捷的，灵活的
agility     [ə'dʒiliti] n.敏捷
agitate     ['ædʒiteit] v.搅动，煽动；使不安，使焦虑
agitated     ['ædʒiteitid] a.被鼓动的；不安的
agnostic     [æɡ'nɔstik] a.不可知论的
ago     [əˈgəu] ad.以前
agog     [ə'ɡɔɡ] a.兴奋的，有强烈兴趣的
agony     [ˈægəni] n.极度痛苦
agrarian     [ə'ɡreəriən] a.土地的
agree     [əˈgriː] vi.同意；持相同意见
agreeable     [ə'ɡriəbl] a.令人喜悦的；欣然同意的
agreement     [əˈgriːmənt] n.协定，协议；同意
agriculture     [ˈægrikʌlt∫ə] n.农业，农艺；农学
agronomy     [əɡ'rɔnəmi] n.农学，农艺学
ahead     [əˈhed] ad.在前；向前；提前
aid     [eid] n.帮助，救护；助手
ail     [eil] v.生病
ailment     ['eilmənt] n. (不严重的)疾病
aim     [eim] vi.瞄准，针对；致力
air     [eə] n.空气；空中；外观
airborne     ['eəbɔ:n] a.空气传播的；空运的
air-condition     n.空调，空调系统,空调机
air-conditioning     n.空调设备，空调系统
aircraft     [ˈeəkrɑːft] n.飞机，飞行器
airline     [ˈeəlain] n.航空公司；航线
airplane     [ˈeəˌplein] n.飞机
airport     [ˈeəpɔːt] n.机场，航空站
airtight     ['eətait] a.密闭的，不透气的
aisle     n.走廊,过道
alabaster     ['æləbɑ:stə] a.雪白的
alacrity     [ə'lækriti] n.乐意，欣然；敏捷，活泼
alarm     [əˈlɑːm] n.惊恐，忧虑；警报
albeit     [ɔ:l'bi:it] conj. 虽然，尽管
albino     [æl'bi:nəu] n. 白化病者，白化变种
album     n.集邮本,照相簿,签名纪念册
alchemy     ['ælkimi] n.炼金术
alcohol     [ˈælkəhɔl] n.酒精，乙醇
alcove     ['ælkəuv] n.凹室
alert     [ə'lə:t] a.警惕的，机警的; n.警报
alias     ['eiliəs] n.化名，别名
alibi     ['ælibai] n.某人当时不在犯罪现场的申辩或证明
alien     n.外侨;adj.外国的,相异的,不同,背道而驰
alienate     ['eiljəneit] v.疏远，离间某人
align     [ə'lain] v.将某物排列在一条直线上；与某人结盟
alike     [əˈlaik] a.同样的，相同的
alimentary     [,æli'mentəri] a.饮食的，营养的
alive     [əˈlaiv] a.活着的；活跃的
alkali     ['ælkəlai] n.碱
all     [ɔːl] a.全部的 prep.全部
allay     [ə'lei] v.减轻，缓和
allege     [ə'ledʒ] v.(无证据)陈述，宣称
allegiance     [ə'li:dʒəns] n.忠诚，拥护
allegory     ['æliɡəri, 'æliɡɔ:ri] n.寓言
allergic     [ə'lə:dʒik] a.过敏的；对„讨厌的
allergy     ['ælədʒi] n.过敏症；厌恶
alleviate     [ə'li:vieit] v.缓和，减轻
alliance     n.联盟,联合
alliterate     [ə'litəreit] v. 押头韵
allocate     ['æləukeit] v.配给，分配
allow     [əˈlau] vt.允许，准许；任
allowance     [ə'lauəns] n.津贴，补助；承认，允许
alloy     [ˈælɔi] n.合金；(金属的)成色
allude     [ə'lju:d] v.间接提到，暗指
alluring     [ə'ljuəriŋ] a.吸引人的，迷人的
allusion     [ə'l(j)u:ʒən] n.暗示，间接提示
ally     ['ælai, ə'lai] n.同盟者，同盟国，vt.使结盟;与…有关联
almond     ['ɑ:mənd] n. 杏树，杏仁
almost     [ˈɔːlməust] ad.几乎，差不多
alms     [ɑ:mz] n. 施舍物，救济品
aloft     [ə'lɔft] adv.在空中，在头顶上
alone     [əˈləun] a.单独的 ad.单独地
along     [əˈlɔŋ] prep.沿着 ad.向前
alongside     [ə'lɔŋ'said] ad.在旁边 prep.和...在一起;在...旁边
aloof     [ə'lu:f] a.冷淡的，疏远的
aloud     [əˈlaud] ad.出声地，大声地
alphabet     [ˈælfəbit] n.字母表，字母系统
alphabetical     [,ælfə'betikəl] a.按字母表顺序的
already     [ɔːlˈredi] ad.早已，已经
also     [ˈɔːlsəu] ad.亦，也；而且，还
alter     [ˈɔːltə] vt.改变，变更；改做
alternate     [ɔ:l'tə:nit, 'ɔltə:,neit] a.轮流的，交替的；v.轮流，交替n.候选人，替代性选择
alternative     [ɔːlˈtəːnətiv] n.替换物；取舍，抉择
although     [ɔːlˈðəu] conj.尽管，虽然
altitude     [ˈæltitjuːd] n.高，高度；高处
altogether     [ˌɔːltəˈgeðə] ad.完全；总而言之
altruism     ['æltruizəm] n.利他主义；无私
altruistic     [,æltru'istik] a.无私的，为他人着想的
aluminium     [ˌæljuːˈminjəm] n.铝
aluminum     [ə'lju:minəm] n.(aluminium)铝
always     [ˈɔːlweiz] ad.总是，一直；永远
a.m     (缩)上午，午前
amalgam     [ə'mælɡəm] n.混合物
amalgamate     [ə'mælɡəmeit] v.合并；混合
amass     [ə'mæs] v.积聚
amateur     ['æmətə(:)] n.业余爱好者
amateurish     [,æmə'tə:riʃ] a.业余爱好的，不熟练的
amaze     [əˈmeiz] vt.使惊奇，使惊愕
ambassador     [æm'bæsədə] n.大使;特使，(派驻国际组织的)代表
ambidextrous     ['æmbi'dekstrəs] a.十分灵巧的
ambience     ['æmbiəns] n. 环境，气氛
ambiguous     [æm'biɡjuəs] a.含糊的
ambition     [æmˈbi∫ən] n.雄心，抱负，野心
ambitious     adj.有雄心的,野心勃勃的
ambivalence     [æm'bivələns] n.矛盾心理
ambivalent     [æm'bivələnt] a.(对人或物)有矛盾看法的
amble     ['æmbl] n./v.漫步，缓行
ambrosial     [æm'brəuzjəl] a. 芬香的，特别美味的
ambulance     [ˈæmbjuləns] n.救护车；野战医院
ambulatory     ['æmbjulətəri] a. (适宜于)步行的
ambush     ['æmbuʃ] v.埋伏；伏击
ameliorate     [ə'mi:ljəreit] v.改善，改良
amenable     [ə'mi:nəbl] a.愿顺从的，通情达理的
amend     [ə'mend] v.修正，(通常向更好的方向)变化
amendment     [ə'mendmənt] n.改正，修正；[法]修正案
amenity     [ə'mi:niti] n.礼仪；使人感到舒适的事物
america     [əˈmerikə] n.美洲；美国
american     [əˈmerikən] a.美洲的 n.美国人
amethyst     ['æməθist] n. 紫水晶
amiable     ['eimjəbl] a.（人自身性格）和蔼的，亲切的
amicable     ['æmikəbl] a.（对外界）友好的
amid     [ə'mid] prep.在…中间，在…之中，被…围绕
amiss     [ə'mis] adv. 有毛病地，出差错地
amity     ['æməti] n.(人或国之间的)友好关系
ammunition     n.军火,弹药
amnesia     [æm'ni:zjə] n.健忘症
amnesty     ['æmnesti] n.大赦，特赦
among     [əˈmʌŋ] prep.在…之中
amongst     [əˈmʌŋst] prep 在…之中(=among)
amoral     [ei'mɔrəl] a. 与道德无关的
amorphous     [ə'mɔ:fəs] a.无定形的
amortize     [ə'mɔ:taiz] v.分期偿还
amount     [əˈmaunt] n.总数；数量；和
ampere     [ˈæmpiər] n.安培
amphibian     [æm'fibiən] n.两栖动物；水陆两用飞行器
ample     ['æmpl] a.富足的；充足的
amplifier     ['æmplifaiə] n.放大器，扩大器
amplify     [ˈæmplifai] vt.放大，增强；扩大
amplitude     ['æmplitju:d] n.广大，广阔
amputate     ['æmpju,teit] v. 截肢
amulet     ['æmjulit] n.护身符
amuse     [əˈmjuːz] vt.逗…乐；给…娱乐
anachronistic     [ə,nækrə'nistik] a.年代出错的
anaerobic     [,æneiə'rəubik] a.厌氧的
anagram     ['ænəɡræm] n.变形词
analgesia     [,ænæl'dʒi:zjə] n.无痛觉，痛觉丧失
analgesic     [ænæl'dʒi:sik] n.镇痛剂；a.止痛的
analogous     [ə'næləɡəs] a.类似的
analogue     ['ænəlɔɡ] n.类似物;相似体;模拟
analogy     [ə'nælədʒi] n.相似；类比
analyse     [ˈænəlaiz] vt.分析，分解，解析
analysis     [əˈnælisis] n.分析，分解，解析
analytic     [,ænə'litik,-kəl] a.(analytical)分析的;分解的
analyze     ['ænəlaiz] v.分析，分解
anarchist     ['ænəkist] n.无政府主义者
anarchy     ['ænəki] n.无政府;政治上的混乱
anathema     [ə'næθimə] n.被诅咒的人；宗教意义的诅咒
anatomical     [,ænə'tɔmikəl] a.解剖学的
ancestor     [ˈænsistə] n.祖宗，祖先
ancestry     ['ænsistri, 'ænsestri] n.家系
anchor     [ˈæŋkə] n.锚 vi.抛锚，停泊
ancient     [ˈein∫ənt] a.古代的，古老的
ancillary     [æn'siləri] a.辅助的；n.助手
and     [ænd] conj.和，又，并，则
anecdote     ['ænikdəut] n.短故事；轶事
anemia     [ə'ni:miə] n.贫血，贫血症
anemic     [ə'ni:mik] a. 贫血的，患贫血症的
anesthetic     [,ænis'θetik] n.麻醉剂；a.麻醉的
angel     [ˈeindʒəl] n.天使，神差，安琪儿
anger     [ˈæŋgə] n.怒，愤怒 vt.使发怒
angle     [ˈæŋgl] n.角，角度
angry     [ˈæŋgri] a.愤怒的，生气的
anguish     ['æŋɡwiʃ] n.极大痛苦
angular     ['æŋɡjulə] a.有角的；(指人)瘦削的
anhydrous     [æn'haidrəs] a.无水的
animadvert     [,ænimæd'və:t] v. 苛责，非难
animal     [ˈæniməl] n.动物，兽 a.动物的
animate     ['ænimit, 'ænimeit] a.活的，有生命的；v.赋予生命
animated     ['ænimeitid] a.活泼的，生动的
animation     [,æni'meiʃən] n.活泼，有生气；卡通制作
animosity     [,æni'mɔsiti] n.憎恶，仇恨
animus     ['æniməs] n.敌意，憎恨
ankle     [ˈæŋkl] n.踝，踝节部
annals     ['ænəlz] n.编年史
annex     ['æneks] n. 附件
annexation     [,ænek'seiʃən] n.并吞，合并
annihilate     [ə'naiəlet] v.消灭
anniversary     [,æni'və:səri] n.周年，周年纪念日
annotate     ['ænəuteit] v.注解
announce     [əˈnauns] vt.宣布，宣告，发表
announcer     [əˈnaunsə] n.宣告者；播音员
annoy     [əˈnɔi] vt.使恼怒；打搅
annual     [ˈænjuəl] a.每年的 n.年报
annul     [ə'nʌl] v.宣告无效；取消
anodyne     ['ænəudain] n. 止痛药
anomalous     [ə'nɔmələs] a.反常的；不规则的
anomaly     [ə'nɔməli] n.异常，反常
anonymity     [,ænə'nimiti] n.无名，匿名
anonymous     [ə'nɔniməs] a.匿名的
anorexia     [,ænə(u)'reksiə] n.厌食症
another     [əˈnʌðə] a.再一个的；别的
answer     [ˈɑːnsə] vt.回答；响应；适应
ant     [ænt] n.蚂蚁
antagonism     [æn'tæɡənizəm] n.反抗，敌意
antagonize     [æn'tæɡənaiz] v.使对抗；与„对抗
Antarctic     [æn'tɑ:ktik] a.南极的
antecedence     [ænti'si:dəns] n.居先，优先
antecedent     [,ænti'si:dənt] n.前事；前辈；a.先行的
antedate     ['ænti,deit] v. (在信、文件上)写上较早日期；早于
antediluvian     [,æntidi'lu:viən] a.史前的；陈旧的
antenna     [æn'tenə] n.触角；天线
anterior     [æn'tiəriə] a.较早的，以前的
anthem     ['ænθəm] n.圣歌；赞美歌，国歌
anthology     [æn'θɔlədʒi] n.诗集，文选
anthropoid     ['ænθrəpɔid] a. 像人类的；n. 类人猿
anthropologist     [,ænθrə'pɔlədʒist] n.人类学家
antibiotic     [,æntibai'ɔtik] n.抗生素；a.抗菌的
antibody     ['ænti,bɔdi] n.抗体(身体中的抗病物质)
antic     ['æntik] a.古怪的
anticipate     [ænˈtisipeit] vt.预料，预期，期望
anticipatory     [æn'tisipeitəri] a.预想的，预期的
anticlimax     [,ænti'klaimæks] n.令人扫兴的结局;（演讲）突降法
antidote     ['æntidəut] n.解毒药
antihistamine     [,ænti'histəmi(:)n] n.(治疗过敏的)抗组胺剂
antipathy     [æn'tipəθi] n.反感，厌恶
antiquated     ['æntikweitid] a.陈旧的，过时的
antique     [æn'ti:k] a.古时的，古老的；n.古物，古董
antiquity     [æn'tikwiti] n.古；古人；古迹
antiseptic     [,ænti'septik] n.杀菌剂；a.防腐的
antithesis     [æn'tiθisis] n.对立；相对
anvil     ['ænvil] n.铁砧
anxiety     [æŋˈzaiəti] n.焦虑，忧虑；渴望
anxious     [ˈæŋk∫əs] a.忧虑的；渴望的
any     [ˈeni] a.什么，一些；任何的
anybody     [ˈeniˌbɔdi] prep.任何人
anyhow     [ˈenihau] ad.无论如何
anyone     [ˈeniwʌn] pron.任何人
anything     [ˈeniθiŋ] pron.任何事物；一切
anyway     [ˈeniwei] ad.无论如何
anywhere     [ˈeniweə] ad.在什么地方
aorta     [ei'ɔ:tə] n.主动脉
apart     [əˈpɑːt] ad.相隔；分开；除去
apartment     [əˈpɑːtmənt] n.一套公寓房间
aperture     ['æpətjuə] n. 孔隙，窄的缺口
apex     ['eipeks] n.顶点，最高点
aphorism     ['æfərizm] n.格言
apiary     ['eipjəri] n.养蜂场，蜂房
aplomb     ['æplɔ:ŋ] n.沉着，镇静
apocalyptic     [əpɔkə'liptik] a.预示世界末日的；启示的
apocrypha     [ə'pɔkrifə] n.伪经，伪书
apocryphal     [ə'pɔkrif(ə)l] a.假冒的，虚假的
apogee     ['æpəudʒi:] n.远地点
apologise     [ə'pɔlədʒaiz] v.(to,for)道歉，认错
apologize     [əˈpɔlədʒaiz] vi.道歉，谢罪，认错
apology     [əˈpɔlədʒi] n.道歉，认错，谢罪
apoplectic     [,æpəu'plektik] a.中风的；愤怒的
apostasy     [ə'pɔstəsi] n.背教，脱党
apostate     [ə'pɔstit] n.背教者；变节者
apostrophe     [ə'pɔstrəfi] n.书写中撇号(’)(表示省略或所有格)
apothecary     [ə'pɔθikəri] n.药剂师
apothegm     ['æpəuθem] n. 格言，警句
apotheosis     [ə,pɔθi'əusis] n. 神化; 典范
appal     [ə'pɔ:l] v.使惊骇，使恐怖
appall     [ə'pɔ:l] v.使惊骇，使恐怖
apparatus     [ˌæpəˈreitəs] n.器械，仪器；器官
apparel     [ə'pærəl] n.(精致的)衣服
apparent     [əˈpærənt] a.表面上的；明显的
apparition     [,æpə'riʃən] n.幽灵，神奇的现象
appeal     [əˈpiːl] vi.&n.呼吁；申述
appear     [əˈpiə] vi.出现；来到；似乎
appearance     [əˈpiərəns] n.出现，来到；外观
appease     [ə'pi:z] v.使平静，安抚
appellation     [,æpe'leiʃən] n.名称，称呼
appendage     [ə'pendidʒ] n. 附加物
